#Warren, S. G., 1984: Optical constants of ice from ultraviolet to microwave,
#Applied Optics, 23, 1206-1225
#(with  updates given by  S. G. Warren in 1995).
#
#Wave(microns)	Real part 	Imaginary part	     
1.36378E+03	1.78183E+00	5.95648E-03
1.39009E+03	1.78186E+00	5.88371E-03
1.41690E+03	1.78188E+00	5.81184E-03
1.44422E+03	1.78190E+00	5.74084E-03
1.47208E+03	1.78193E+00	5.67071E-03
1.50047E+03	1.78195E+00	5.60143E-03
1.52941E+03	1.78197E+00	5.53300E-03
1.55891E+03	1.78199E+00	5.46541E-03
1.58897E+03	1.78202E+00	5.39865E-03
1.61962E+03	1.78204E+00	5.33269E-03
1.65085E+03	1.78206E+00	5.26755E-03
1.68269E+03	1.78209E+00	5.20320E-03
1.71515E+03	1.78211E+00	5.13964E-03
1.74823E+03	1.78213E+00	5.07685E-03
1.78195E+03	1.78216E+00	5.01483E-03
1.81631E+03	1.78218E+00	4.95357E-03
1.85134E+03	1.78220E+00	4.89305E-03
